ProbenNrPseud,Target_Adverse,PnMgT,MatrixGrT,MatrixT,BetriebsartT,Country_Feature,Processing_Feature,Packaging_Feature,Sampling_Date,Sampling_Month
2,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Leinsamen aufgebrochen/geschrotet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Gemahlen/geschrotet,Verpackt,2023-08-28,8
3,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Blumenkohl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Unverpackt,2023-09-28,9
4,0,Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Algerien,Getrocknet,Karton/Pappe,2023-11-16,11
5,1,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Orange,Großhändler von Obst und Gemüse und -erzeugnissen,Australien und Ozeanien,Keine Angabe,Keine Angabe,2023-10-10,10
6,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstück Wildschwein auch tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Verpackt unter Vakuum,2023-04-25,4
7,0,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Gemahlen/geschrotet,Glas,2023-05-10,5
8,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstück Ente auch tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),"Frankreich, einschl. Korsika",Keine Angabe,Kunststoff/-folie,2023-10-24,10
9,0,EG(KKP)- und Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel festkochend (Salatware),Großhändler von Obst und Gemüse und -erzeugnissen,Deutschland,Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-05-15,5
10,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Blumenkohl,Lebensmittellager Zentrallager,"Frankreich, einschl. Korsika",Unverarbeitet/roh,Umhüllt,2023-01-20,1
11,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Erdnuss geröstet mit Schale,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Israel,Keine Angabe,Kunststoff/-folie,2023-10-19,10
